,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총 상주인구 수,상권_코드_명,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
287,2020,2,D,발달상권,1001199,1378.0,서울 중구 충무로역_2,2.0,72.0,207367072.0
288,2020,2,D,발달상권,1001198,2266.0,서울 강서구 송정역,30.0,45.0,120743485.0
289,2020,2,D,발달상권,1001197,1390.0,장한평역_2,13.0,54.0,176784077.0
290,2020,2,D,발달상권,1001196,323.0,시청역_1,1.0,76.0,446396132.0
291,2020,2,D,발달상권,1001195,633.0,왕십리역_2,1.0,20.0,165800000.0
292,2020,2,D,발달상권,1001194,104.0,NaN,NaN,NaN,NaN
293,2020,2,D,발달상권,1001193,227.0,장한평역_1,1.0,85.0,284857143.0
294,2020,2,D,발달상권,1001192,787.0,서울 중구 충무로역_1,2.0,49.0,171107143.0
295,2020,2,D,발달상권,1001191,1.0,NaN,NaN,NaN,NaN
296,2020,2,D,발달상권,1001190,1450.0,장한평역,1.0,26.0,44000000.0
297,2020,2,D,발달상권,1001189,1251.0,서울 중구 명동역,3.0,113.0,603583081.0
298,2020,2,D,발달상권,1001188,306.0,장충동 족발거리,2.0,30.0,117037405.0
299,2020,2,D,발달상권,1001187,1011.0,한양시장,10.0,48.0,120214270.0
300,2020,2,D,발달상권,1001186,1962.0,서울 서대문구 이대역,17.0,31.0,147266075.0
301,2020,2,D,발달상권,1001185,2661.0,서울 서대문구 신촌역,21.0,51.0,117132076.0
302,2020,2,D,발달상권,1001184,153.0,NaN,NaN,NaN,NaN
303,2020,2,D,발달상권,1001183,395.0,서울 마포구 홍대입구역_2,9.0,46.0,158259479.0
304,2020,2,D,발달상권,1001182,3885.0,홍익대학교 주변,94.0,47.0,164264322.0
305,2020,2,D,발달상권,1001181,1755.0,서울 광진구 군자역,21.0,41.0,139959637.0
306,2020,2,D,발달상권,1001180,938.0,신촌역,10.0,29.0,96853081.0
307,2020,2,D,발달상권,1001179,3194.0,강서구청,43.0,44.0,127719093.0
308,2020,2,D,발달상권,1001178,496.0,서울 마포구 홍대입구역_1,14.0,50.0,184078962.0
309,2020,2,D,발달상권,1001177,52.0,NaN,NaN,NaN,NaN
310,2020,2,D,발달상권,1001176,6.0,NaN,NaN,NaN,NaN
